step,top1_miss,ema_miss,top1_acc,flip_penalty,median_rel_margin,flip_severity
344,0.489258,0.478823,0.510742,0.337891,1.000000,1.000000
345,0.475586,0.478499,0.524414,0.308594,1.101562,0.945312
346,0.417969,0.472446,0.582031,0.265625,1.078125,0.738281
347,0.472656,0.472467,0.527344,0.292969,1.156250,0.839844
348,0.461914,0.471412,0.538086,0.281250,1.203125,0.792969
349,0.435547,0.467825,0.564453,0.257812,1.132812,0.691406
350,0.452637,0.466306,0.547363,0.298828,1.085938,0.894531
351,0.478027,0.467479,0.521973,0.304688,1.132812,0.910156
352,0.478027,0.468533,0.521973,0.281250,1.109375,0.902344
353,0.458008,0.467481,0.541992,0.306641,1.000000,0.835938
354,0.468262,0.467559,0.531738,0.308594,1.093750,0.933594
355,0.423340,0.463137,0.576660,0.316406,0.832031,1.046875
356,0.410645,0.457888,0.589355,0.253906,1.125000,0.687500
357,0.418945,0.453994,0.581055,0.251953,1.164062,0.640625
358,0.425293,0.451123,0.574707,0.267578,1.093750,0.687500
359,0.444336,0.450445,0.555664,0.269531,1.140625,0.738281
360,0.422363,0.447637,0.577637,0.255859,1.187500,0.636719
361,0.473145,0.450187,0.526855,0.355469,0.964844,1.132812
362,0.433594,0.448528,0.566406,0.292969,0.910156,0.902344
363,0.482422,0.451917,0.517578,0.318359,1.078125,0.949219
364,0.527832,0.459509,0.472168,0.400391,0.843750,1.351562
365,0.472656,0.460824,0.527344,0.310547,1.015625,1.000000
366,0.478027,0.462544,0.521973,0.318359,1.117188,1.156250
367,0.428711,0.459161,0.571289,0.271484,1.062500,0.738281
368,0.451172,0.458362,0.548828,0.294922,1.101562,0.789062
369,0.448242,0.457350,0.551758,0.269531,1.171875,0.742188
370,0.433105,0.454925,0.566895,0.279297,1.023438,0.859375
371,0.436523,0.453085,0.563477,0.292969,1.062500,0.847656
372,0.460938,0.453870,0.539062,0.306641,1.156250,0.878906
373,0.470703,0.455554,0.529297,0.296875,1.164062,0.851562
374,0.432129,0.453211,0.567871,0.275391,1.132812,0.742188
375,0.411621,0.449052,0.588379,0.261719,1.039062,0.742188
376,0.471680,0.451315,0.528320,0.302734,1.148438,0.867188
377,0.429199,0.449103,0.570801,0.273438,1.062500,0.718750
378,0.447754,0.448968,0.552246,0.289062,1.039062,0.789062
379,0.419434,0.446015,0.580566,0.259766,1.125000,0.683594
380,0.446289,0.446042,0.553711,0.287109,1.078125,0.800781
381,0.421387,0.443577,0.578613,0.255859,1.109375,0.812500
382,0.433105,0.442530,0.566895,0.275391,1.140625,0.664062
383,0.505371,0.448814,0.494629,0.333984,1.179688,1.109375
384,0.366699,0.440602,0.633301,0.269531,0.757812,0.812500
385,0.439941,0.440536,0.560059,0.310547,0.945312,0.859375
386,0.422852,0.438768,0.577148,0.281250,0.972656,0.757812
387,0.457031,0.440594,0.542969,0.283203,1.117188,0.796875
388,0.459473,0.442482,0.540527,0.324219,0.949219,0.980469
389,0.423340,0.440568,0.576660,0.275391,1.101562,0.738281
390,0.436523,0.440163,0.563477,0.316406,0.859375,0.871094
391,0.444336,0.440581,0.555664,0.300781,1.000000,0.871094
392,0.398438,0.436366,0.601562,0.244141,1.054688,0.695312
393,0.390137,0.431743,0.609863,0.312500,0.781250,0.917969
394,0.508789,0.439448,0.491211,0.408203,0.789062,1.226562
395,0.496582,0.445161,0.503418,0.394531,0.832031,1.257812
396,0.444824,0.445128,0.555176,0.279297,1.000000,0.843750
397,0.468750,0.447490,0.531250,0.298828,1.093750,0.945312
398,0.423340,0.445075,0.576660,0.292969,0.984375,0.886719
399,0.516602,0.452228,0.483398,0.359375,0.902344,1.109375
400,0.467773,0.453782,0.532227,0.337891,0.937500,0.976562
401,0.401367,0.448541,0.598633,0.291016,0.824219,0.878906
402,0.473633,0.451050,0.526367,0.279297,1.132812,0.718750
403,0.494141,0.455359,0.505859,0.332031,1.093750,0.921875
